,utc,star,elevation,azimuth,tel_1,tel_2,pop_1,pop_2,cart_1,cart_2
0,2012-02-03T02:25:39.000,#57100,0.7134473315380316,2.464114210851493,S1,W1,P4B5,P1B6,87.558149075,23.999986958
1,2012-02-03T02:25:40.000,#57100,0.713485123030152,2.464195890078825,S1,W1,P4B5,P1B6,87.551523419,23.999986958
2,2012-02-03T02:25:41.000,#57100,0.713522910682548,2.4642775750831967,S1,W1,P4B5,P1B6,87.544909213,23.999986958
3,2012-02-03T02:46:21.000,#57100,0.7572568578300487,2.5700600118613908,S1,W1,P4B5,P1B6,78.534253569,23.999991998
4,2012-02-03T02:46:39.000,#57100,0.7578431737033205,2.571662051396939,S1,W1,P4B5,P1B6,78.391950729,23.999991998
5,2012-02-03T02:46:41.000,#57100,0.7579082295596449,2.5718401732426797,S1,W1,P4B5,P1B6,78.376143307,23.999991998
6,2012-02-03T02:46:54.000,#57100,0.7583306515461452,2.5729985377428926,S1,W1,P4B5,P1B6,78.273152828,23.999991998
7,2012-02-03T03:00:56.000,#57100,0.7840049084896977,2.650122898743881,S1,W1,P4B5,P1B6,71.247310853,23.999991998
8,2012-02-03T03:00:56.000,#57100,0.7840049084896977,2.650122898743881,S1,W1,P4B5,P1B6,71.247345144,23.999991998
9,2012-02-03T03:00:57.000,#57100,0.7840333595556199,2.6502169256695254,S1,W1,P4B5,P1B6,71.238519443,23.999991998
10,2012-02-03T03:00:57.000,#57100,0.7840333595556199,2.6502169256695254,S1,W1,P4B5,P1B6,71.238528985,23.999991998
11,2012-02-03T03:08:50.000,#53937,0.8402962066343294,2.738087623228504,S1,W1,P4B5,P1B6,56.738647763,24.007849236
12,2012-02-03T03:08:51.000,#53937,0.84031987745287,2.7381905410358907,S1,W1,P4B5,P1B6,56.728911618,24.007849295
13,2012-02-03T03:08:52.000,#53937,0.8403435425467307,2.738293464428331,S1,W1,P4B5,P1B6,56.719099661,24.007849589
14,2012-02-03T03:08:53.000,#53937,0.8403672019333647,2.7383963935629048,S1,W1,P4B5,P1B6,56.709305616,24.007849844
15,2012-02-03T03:15:55.000,#57100,0.8074985806142325,2.736893794754901,S1,W1,P4B5,P1B6,63.002936766,24.007843612
16,2012-02-03T03:15:56.000,#57100,0.8075223177203782,2.7369927407339625,S1,W1,P4B5,P1B6,62.993338425,24.007843841
17,2012-02-03T03:15:57.000,#57100,0.8075460493112835,2.7370916918617447,S1,W1,P4B5,P1B6,62.983675461,24.007843877
18,2012-02-03T03:15:59.000,#57100,0.8075934960695457,2.7372896097903667,S1,W1,P4B5,P1B6,62.964473558,24.007843692
19,2012-02-03T03:24:40.000,#53937,0.8601327927958021,2.838283945449571,S1,W1,P4B5,P1B6,47.050034742,24.007839884
20,2012-02-03T03:24:41.000,#53937,0.860150797926525,2.838391817862732,S1,W1,P4B5,P1B6,47.039444975,24.007839779
21,2012-02-03T03:24:41.000,#53937,0.860150797926525,2.838391817862732,S1,W1,P4B5,P1B6,47.039454971,24.00783984
22,2012-02-03T03:24:42.000,#53937,0.8601687968787822,2.838499695023188,S1,W1,P4B5,P1B6,47.028838226,24.007839825
23,2012-02-03T03:31:54.000,#57100,0.8276691578508356,2.834057774515904,S1,W1,P4B5,P1B6,53.384924985,24.007836249
24,2012-02-03T03:31:59.000,#57100,0.8277603397501726,2.834575604786338,S1,W1,P4B5,P1B6,53.332639119,24.007837017
25,2012-02-03T03:31:59.000,#57100,0.8277603397501726,2.834575604786338,S1,W1,P4B5,P1B6,53.332650838,24.007837017
26,2012-02-03T03:32:00.000,#57100,0.8277785582823031,2.834679183898978,S1,W1,P4B5,P1B6,53.322160365,24.007837014
27,2012-02-03T03:40:47.000,#53937,0.8745771412981387,2.9445827919049083,S1,W1,P4B5,P1B6,36.39167652,24.007834505
28,2012-02-03T03:40:49.000,#53937,0.8746007312730283,2.9448063065007273,S1,W1,P4B5,P1B6,36.368882183,24.007833925
29,2012-02-03T03:40:50.000,#53937,0.8746125163644564,2.9449180687466456,S1,W1,P4B5,P1B6,36.35746021,24.007833676
30,2012-02-03T03:40:50.000,#53937,0.8746125163644564,2.9449180687466456,S1,W1,P4B5,P1B6,36.357460593,24.007834059
31,2012-02-03T03:50:29.000,#57100,0.8442245687041502,2.9519481812684236,S1,W1,P4B5,P1B6,41.205218182,24.007831087
32,2012-02-03T03:50:30.000,#57100,0.8442359312862728,2.9520558209244756,S1,W1,P4B5,P1B6,41.193810859,24.007830819
33,2012-02-03T03:50:31.000,#57100,0.8442472875153969,2.9521634635650402,S1,W1,P4B5,P1B6,41.182395391,24.007830904
34,2012-02-03T03:50:31.000,#57100,0.8442472875153969,2.9521634635650402,S1,W1,P4B5,P1B6,41.182415058,24.007830734
35,2012-02-03T04:00:47.000,#62882,0.8721930368813586,2.891857046349597,S1,W1,P4B5,P1B6,40.989515636,24.007828186
36,2012-02-03T04:00:48.000,#62882,0.8722079348896805,2.8919676222603163,S1,W1,P4B5,P1B6,40.978471015,24.007828191
37,2012-02-03T04:00:49.000,#62882,0.8722228264577375,2.892078202324918,S1,W1,P4B5,P1B6,40.967425569,24.007828209
38,2012-02-03T04:00:49.000,#62882,0.8722228264577375,2.892078202324918,S1,W1,P4B5,P1B6,40.96742618,24.00782882
39,2012-02-03T04:06:58.000,#62882,0.8772733656677665,2.933146743288965,S1,W1,P4B5,P1B6,36.83530541,24.007827779
40,2012-02-03T04:06:59.000,#62882,0.8772858393613977,2.933258720943419,S1,W1,P4B5,P1B6,36.8239572,24.007828428
41,2012-02-03T04:07:00.000,#62882,0.8772983064227776,2.933370702001265,S1,W1,P4B5,P1B6,36.812606817,24.007827707
42,2012-02-03T04:07:00.000,#62882,0.8772983064227776,2.933370702001265,S1,W1,P4B5,P1B6,36.812607296,24.007828186
43,2012-02-03T04:13:40.000,#53937,0.8846802055538195,3.1691291637727073,S1,W1,P4B5,P1B6,12.378205985,24.007825401
44,2012-02-03T04:13:40.000,#53937,0.8846802055538195,3.1691291637727073,S1,W1,P4B5,P1B6,12.378206583,24.007825999
45,2012-02-03T04:13:41.000,#53937,0.8846785420281498,3.1692437842396215,S1,W1,P4B5,P1B6,12.365325128,24.00782555
46,2012-02-03T04:13:41.000,#53937,0.8846785420281498,3.1692437842396215,S1,W1,P4B5,P1B6,12.365325177,24.007825599
47,2012-02-03T04:21:20.000,#62882,0.8855399174980259,3.0307788191685283,S1,W1,P4B5,P1B6,26.758972888,24.007824729
48,2012-02-03T04:21:20.000,#62882,0.8855399174980259,3.0307788191685283,S1,W1,P4B5,P1B6,26.758972991,24.007824832
49,2012-02-03T04:21:20.000,#62882,0.8855399174980259,3.0307788191685283,S1,W1,P4B5,P1B6,26.758973423,24.007825264
50,2012-02-03T04:21:21.000,#62882,0.8855465816887087,3.030893145599823,S1,W1,P4B5,P1B6,26.746949475,24.007824595
51,2012-02-03T04:31:03.000,#62882,0.8882571724219152,3.097693976211197,S1,W1,P4B5,P1B6,83.615701603,87.999970658
52,2012-02-03T04:31:04.000,#62882,0.888259814867856,3.0978090933813625,S1,W1,P4B5,P1B6,83.603264002,87.999970658
53,2012-02-03T04:31:04.000,#62882,0.888259814867856,3.0978090933813625,S1,W1,P4B5,P1B6,83.603273732,87.999970658
54,2012-02-03T04:31:05.000,#62882,0.8882624503848396,3.097924211389287,S1,W1,P4B5,P1B6,83.590810638,87.999970658
55,2012-02-03T04:39:46.000,#53937,0.8736940703384627,3.3467873142072575,S1,W1,P4B5,P1B6,55.415940181,87.999970658
56,2012-02-03T04:39:49.000,#53937,0.8736571852132763,3.347121827519807,S1,W1,P4B5,P1B6,55.374403521,87.999970658
57,2012-02-03T04:39:50.000,#53937,0.8736448770117649,3.3472333251738102,S1,W1,P4B5,P1B6,55.360589036,87.999970658
58,2012-02-03T04:54:12.000,#62882,0.8852400791304184,3.2574317388313956,S1,W1,P4B5,P1B6,65.657667175,87.999970658
59,2012-02-03T04:54:13.000,#62882,0.8852331070287488,3.257545976582511,S1,W1,P4B5,P1B6,65.644272157,87.999970658
60,2012-02-03T04:54:14.000,#62882,0.8852261280853886,3.2576602122392324,S1,W1,P4B5,P1B6,65.630887959,87.999970658
61,2012-02-03T05:01:54.000,#53937,0.8517326667290975,3.4912925044562098,S1,W1,P4B5,P1B6,36.552177597,87.999970658
