utc,star,azimuth,elevation,tel_1,tel_2,pop_1,pop_2,cart_1,cart_2,year,month,day
2019-04-07T03:18:25.000,#93396,4.937620789440598,1.279388556835371,W1,W2,P3B3,P5B2,62.585687406,80.0,2019,4,7
2019-04-07T03:18:25.000,#93396,4.937620789440598,1.279388556835371,S2,W1,P2B4,P3B3,39.0855583,62.585687406,2019,4,7
2019-04-07T03:18:29.000,#93396,4.937605362911672,1.2791534754015468,W1,W2,P3B3,P5B2,62.610569691,80.0,2019,4,7
2019-04-07T03:18:34.000,#93396,4.937586311962208,1.278859622466076,W1,W2,P3B3,P5B2,62.641690188,80.0,2019,4,7
2019-04-07T03:32:01.000,#93396,4.9374275569007136,1.2314259337354871,S2,W1,P2B4,P3B3,43.169167201,76.216268134,2019,4,7
2019-04-07T03:32:03.000,#93396,4.937433380156857,1.231308388131653,W1,W2,P3B3,P5B2,76.228569718,88.58,2019,4,7
2019-04-07T03:32:04.000,#93396,4.937436301750758,1.2312496153559165,S2,W1,P2B4,P3B3,43.152302707,76.234718196,2019,4,7
2019-04-07T03:39:46.000,#93396,4.9394462749456185,1.204102215700679,E1,W2,P1B1,P5B2,-0.867462301,88.58,2019,4,7
2019-04-07T03:39:46.000,#93396,4.9394462749456185,1.204102215700679,W1,W2,P3B3,P5B2,79.063274044,88.58,2019,4,7
2019-04-07T03:39:47.000,#93396,4.939451953409247,1.2040434701869849,S2,W2,P2B4,P5B2,40.523871975,88.58,2019,4,7
2019-04-07T03:39:47.000,#93396,4.939451953409247,1.2040434701869849,S2,W1,P2B4,P3B3,40.523871975,79.069368579,2019,4,7
2019-04-07T03:39:47.000,#93396,4.939451953409247,1.2040434701869849,S1,W1,P1B5,P3B3,40.083946931,79.069368579,2019,4,7
2019-04-07T03:39:47.000,#93396,4.939451953409247,1.2040434701869849,S1,S2,P1B5,P2B4,40.083946931,40.523871975,2019,4,7
2019-04-07T03:39:48.000,#93396,4.939457637213582,1.2039847247256508,W1,W2,P3B3,P5B2,79.075463698,88.58,2019,4,7
2019-04-07T03:39:49.000,#93396,4.939463326341173,1.2039259793166763,S2,W1,P2B4,P3B3,40.512386591,79.081557988,2019,4,7
2019-04-07T03:39:49.000,#93396,4.939463326341173,1.2039259793166763,S1,W1,P1B5,P3B3,40.07094026,79.081557988,2019,4,7
2019-04-07T03:39:49.000,#93396,4.939463326341173,1.2039259793166763,S1,S2,P1B5,P2B4,40.07094026,40.512386591,2019,4,7
2019-04-07T03:40:02.000,#93396,4.939537768962186,1.203162296400206,E1,W1,P1B1,P3B3,-1.005553907,79.160703886,2019,4,7
2019-04-07T03:40:02.000,#93396,4.939537768962186,1.203162296400206,W1,W2,P3B3,P5B2,79.160703886,88.58,2019,4,7
2019-04-07T03:40:02.000,#93396,4.939537768962186,1.203162296400206,S2,W1,P2B4,P3B3,40.437777641,79.160703886,2019,4,7
2019-04-07T03:40:02.000,#93396,4.939537768962186,1.203162296400206,S1,W1,P1B5,P3B3,39.986272159,79.160703886,2019,4,7
2019-04-07T03:40:02.000,#93396,4.939537768962186,1.203162296400206,S1,S2,P1B5,P2B4,39.986272159,40.437777641,2019,4,7
2019-04-07T03:40:04.000,#93396,4.939549301260125,1.203044807903545,W1,W2,P3B3,P5B2,79.172923436,88.58,2019,4,7
2019-04-07T03:40:04.000,#93396,4.939549301260125,1.203044807903545,S2,W2,P2B4,P5B2,40.426317596,88.58,2019,4,7
2019-04-07T03:40:04.000,#93396,4.939549301260125,1.203044807903545,S2,W1,P2B4,P3B3,40.426317596,79.172923436,2019,4,7
2019-04-07T03:40:05.000,#93396,4.93955507533289,1.202986063751208,S1,S2,P1B5,P2B4,39.966747831,40.420578869,2019,4,7
