utc,star,elevation,azimuth,tel_1,tel_2,pop_1,pop_2,cart_1,cart_2
2019-04-07T03:18:25.000,#93396,282.904832071,73.303564664,W1,W2,P3B3,P5B2,62.585687406,80.000000000
2019-04-07T03:18:25.000,#93396,282.904832071,73.303564664,S2,W1,P2B4,P3B3,39.085558300,62.585687406
2019-04-07T03:18:29.000,#93396,282.903948196,73.290095490,W1,W2,P3B3,P5B2,62.610569691,80.000000000
2019-04-07T03:18:34.000,#93396,282.902856657,73.273258957,W1,W2,P3B3,P5B2,62.641690188,80.000000000
2019-04-07T03:32:01.000,#93396,282.893760662,70.555508786,S2,W1,P2B4,P3B3,43.169167201,76.216268134
2019-04-07T03:32:03.000,#93396,282.894094310,70.548773919,W1,W2,P3B3,P5B2,76.228569718,88.580000000
2019-04-07T03:32:04.000,#93396,282.894261705,70.545406487,S2,W1,P2B4,P3B3,43.152302707,76.234718196
2019-04-07T03:39:46.000,#93396,283.009424686,68.989975062,E1,W2,P1B1,P5B2,-0.867462301,88.580000000
2019-04-07T03:39:46.000,#93396,283.009424686,68.989975062,W1,W2,P3B3,P5B2,79.063274044,88.580000000
2019-04-07T03:39:47.000,#93396,283.009750038,68.986609192,S2,W2,P2B4,P5B2,40.523871975,88.580000000
2019-04-07T03:39:47.000,#93396,283.009750038,68.986609192,S2,W1,P2B4,P3B3,40.523871975,79.069368579
2019-04-07T03:39:47.000,#93396,283.009750038,68.986609192,S1,W1,P1B5,P3B3,40.083946931,79.069368579
2019-04-07T03:39:47.000,#93396,283.009750038,68.986609192,S1,S2,P1B5,P2B4,40.083946931,40.523871975
2019-04-07T03:39:48.000,#93396,283.010075696,68.983243325,W1,W2,P3B3,P5B2,79.075463698,88.580000000
2019-04-07T03:39:49.000,#93396,283.010401659,68.979877461,S2,W1,P2B4,P3B3,40.512386591,79.081557988
2019-04-07T03:39:49.000,#93396,283.010401659,68.979877461,S1,W1,P1B5,P3B3,40.070940260,79.081557988
2019-04-07T03:39:49.000,#93396,283.010401659,68.979877461,S1,S2,P1B5,P2B4,40.070940260,40.512386591
2019-04-07T03:40:02.000,#93396,283.014666907,68.936121653,E1,W1,P1B1,P3B3,-1.005553907,79.160703886
2019-04-07T03:40:02.000,#93396,283.014666907,68.936121653,W1,W2,P3B3,P5B2,79.160703886,88.580000000
2019-04-07T03:40:02.000,#93396,283.014666907,68.936121653,S2,W1,P2B4,P3B3,40.437777641,79.160703886
2019-04-07T03:40:02.000,#93396,283.014666907,68.936121653,S1,W1,P1B5,P3B3,39.986272159,79.160703886
2019-04-07T03:40:02.000,#93396,283.014666907,68.936121653,S1,S2,P1B5,P2B4,39.986272159,40.437777641
2019-04-07T03:40:04.000,#93396,283.015327659,68.929390058,W1,W2,P3B3,P5B2,79.172923436,88.580000000
2019-04-07T03:40:04.000,#93396,283.015327659,68.929390058,S2,W2,P2B4,P5B2,40.426317596,88.580000000
2019-04-07T03:40:04.000,#93396,283.015327659,68.929390058,S2,W1,P2B4,P3B3,40.426317596,79.172923436
2019-04-07T03:40:05.000,#93396,283.015658489,68.926024266,S1,S2,P1B5,P2B4,39.966747831,40.420578869
2019-04-07T03:42:44.000,#93396,283.072025879,68.390923420,W1,W2,P3B3,P5B2,80.145900662,88.580000000
2019-04-07T04:07:39.000,#66519,293.004180156,49.056428276,E1,W1,P1B1,P5B3,11.023747494,82.468830200
2019-04-07T04:07:39.000,#66519,293.004180156,49.056428276,S2,E1,P2B4,P1B1,36.765916888,11.023747494
2019-04-07T04:07:39.000,#66519,293.004180156,49.056428276,S2,W1,P2B4,P5B3,36.765916888,82.468830200
2019-04-07T04:07:40.000,#66519,293.004974094,49.053248462,E1,W1,P1B1,P5B3,11.019821339,82.473351426
2019-04-07T04:07:40.000,#66519,293.004974094,49.053248462,S2,E1,P2B4,P1B1,36.759595001,11.019821339
2019-04-07T04:07:40.000,#66519,293.004974094,49.053248462,S2,W1,P2B4,P5B3,36.759595001,82.473351426
2019-04-07T04:07:41.000,#66519,293.005768157,49.050068664,E1,W1,P1B1,P5B3,11.015880929,82.477896067
2019-04-07T04:07:41.000,#66519,293.005768157,49.050068664,S2,E1,P2B4,P1B1,36.753264245,11.015880929
2019-04-07T04:11:18.000,#66519,293.180971674,48.360501304,E1,W1,P1B1,P5B3,10.179209687,83.456610636
2019-04-07T04:11:18.000,#66519,293.180971674,48.360501304,S2,E1,P2B4,P1B1,35.379589065,10.179209687
2019-04-07T04:11:18.000,#66519,293.180971674,48.360501304,S2,W1,P2B4,P5B3,35.379589065,83.456610636
2019-04-07T04:12:09.000,#66519,293.222972639,48.198568844,E1,W1,P1B1,P5B3,9.987894602,83.684656414
2019-04-07T04:12:09.000,#66519,293.222972639,48.198568844,S2,E1,P2B4,P1B1,35.056581189,9.987894602
2019-04-07T04:12:10.000,#66519,293.223799280,48.195394207,S2,W1,P2B4,P5B3,35.050246184,83.689119526
2019-04-07T04:12:53.000,#66519,293.259456844,48.058903461,E1,W1,P1B1,P5B3,9.824567809,83.880638173
2019-04-07T04:12:54.000,#66519,293.260288689,48.055729692,S2,E1,P2B4,P1B1,34.771554230,9.820873747
2019-04-07T04:12:54.000,#66519,293.260288689,48.055729692,S2,W1,P2B4,P5B3,34.771554230,83.885088140
2019-04-07T04:13:59.000,#66519,293.314610607,47.849477370,E1,W1,P1B1,P5B3,9.582509215,84.173744239
2019-04-07T04:13:59.000,#66519,293.314610607,47.849477370,S2,W1,P2B4,P5B3,34.359603508,84.173744239
2019-04-07T04:13:59.000,#66519,293.314610607,47.849477370,S1,W1,P1B5,P5B3,26.300104938,84.173744239
2019-04-07T04:14:00.000,#66519,293.315450194,47.846304915,E1,W1,P1B1,P5B3,9.578857379,84.178169835
2019-04-07T04:14:00.000,#66519,293.315450194,47.846304915,S2,E1,P2B4,P1B1,34.353275895,9.578857379
2019-04-07T04:14:00.000,#66519,293.315450194,47.846304915,S1,E1,P1B5,P1B1,26.292752678,9.578857379
2019-04-07T04:14:01.000,#66519,293.316289898,47.843132481,S2,W1,P2B4,P5B3,34.346938181,84.182599696
2019-04-07T04:14:01.000,#66519,293.316289898,47.843132481,S1,S2,P1B5,P2B4,26.285395472,34.346938181
2019-04-07T04:14:01.000,#66519,293.316289898,47.843132481,E1,W1,P1B1,P5B3,9.575216204,84.182600651
2019-04-07T04:14:01.000,#66519,293.316289898,47.843132481,S2,E1,P2B4,P1B1,34.346930826,9.575216204
2019-04-07T04:14:01.000,#66519,293.316289898,47.843132481,S2,W1,P2B4,P5B3,34.346930826,84.182600651
2019-04-07T04:14:02.000,#66519,293.317129717,47.839960068,S1,S2,P1B5,P2B4,26.278045147,34.340593094
2019-04-07T04:14:02.000,#66519,293.317129717,47.839960068,E1,W1,P1B1,P5B3,9.571575327,84.187027071
2019-04-07T04:14:02.000,#66519,293.317129717,47.839960068,S2,E1,P2B4,P1B1,34.340598164,9.571575327
2019-04-07T04:14:02.000,#66519,293.317129717,47.839960068,S1,W1,P1B5,P5B3,26.278044286,84.187027071
2019-04-07T04:14:04.000,#66519,293.318809707,47.833615301,E1,W1,P1B1,P5B3,9.564301543,84.195862228
2019-04-07T04:17:17.000,#66519,293.483104005,47.221726663,E1,W1,P1B1,P5B3,8.877013169,85.045115809
2019-04-07T04:17:18.000,#66519,293.483966380,47.218558245,E1,W1,P1B1,P5B3,8.873523460,85.049486361
2019-04-07T04:17:18.000,#66519,293.483966380,47.218558245,S2,E1,P2B4,P1B1,33.097999200,8.873523460
2019-04-07T04:17:18.000,#66519,293.483966380,47.218558245,S2,W1,P2B4,P5B3,33.097999200,85.049486361
2019-04-07T04:26:54.000,#66519,293.999074202,45.397101366,E1,W1,P1B1,P5B3,7.001068071,87.515211118
2019-04-07T04:26:55.000,#66519,293.999999604,45.393945472,S2,W1,P2B4,P5B3,29.437316076,87.519401175
2019-04-07T04:26:55.000,#66519,293.999999604,45.393945472,E1,W1,P1B1,P5B3,6.998046128,87.519407755
2019-04-07T04:26:55.000,#66519,293.999999604,45.393945472,S1,E1,P1B5,P1B1,20.579327661,6.998046128
2019-04-07T04:26:55.000,#66519,293.999999604,45.393945472,S2,W1,P2B4,P5B3,29.437320194,87.519407755
2019-04-07T04:37:24.000,#66519,294.602433997,43.413526129,E1,W1,P1B1,P5B3,2.261150774,87.090997478
2019-04-07T04:37:25.000,#66519,294.603423371,43.410385206,E1,W1,P1B1,P5B3,2.258646410,87.094971899
2019-04-07T04:37:26.000,#66519,294.604412843,43.407244310,E1,W1,P1B1,P5B3,2.256138939,87.098952666
2019-04-07T04:37:26.000,#66519,294.604412843,43.407244310,S2,W1,P2B4,P5B3,22.435272765,87.098952666
2019-04-07T04:37:26.000,#66519,294.604412843,43.407244310,E1,W1,P1B1,P5B3,2.256143804,87.098952088
2019-04-07T04:37:26.000,#66519,294.604412843,43.407244310,S2,E1,P2B4,P1B1,22.435276559,2.256143804
2019-04-07T04:37:26.000,#66519,294.604412843,43.407244310,S2,W1,P2B4,P5B3,22.435276559,87.098952088
2019-04-07T04:37:27.000,#66519,294.605402414,43.404103437,E1,W1,P1B1,P5B3,2.253646036,87.102926231
2019-04-07T04:47:45.000,#66519,295.235340685,41.467929984,S2,W1,P2B4,P5B3,17.519704957,88.501147330
2019-04-07T05:21:01.000,#135971,178.192036777,50.294793038,W1,W2,P3B3,P5B2,12.955529210,72.000000000
2019-04-07T05:21:01.000,#135971,178.192036777,50.294793038,S2,W2,P5B4,P5B2,60.075614072,72.000000000
2019-04-07T05:21:01.000,#135971,178.192036777,50.294793038,S2,W1,P5B4,P3B3,60.075614072,12.955529210
2019-04-07T05:21:01.000,#135971,178.192036777,50.294793038,S1,W1,P4B5,P3B3,82.758377208,12.955529210
2019-04-07T05:21:02.000,#135971,178.198544956,50.294901830,S1,S2,P4B5,P5B4,82.753526750,60.071153718
2019-04-07T05:21:02.000,#135971,178.198544956,50.294901830,W1,W2,P3B3,P5B2,12.963178511,72.000000000
2019-04-07T05:21:02.000,#135971,178.198544956,50.294901830,S2,W2,P5B4,P5B2,60.071152132,72.000000000
2019-04-07T05:21:02.000,#135971,178.198544956,50.294901830,S2,W1,P5B4,P3B3,60.071152132,12.963178511
2019-04-07T05:21:03.000,#135971,178.205053169,50.295010231,S1,W1,P4B5,P3B3,82.748660688,12.970842364
2019-04-07T05:21:03.000,#135971,178.205053169,50.295010231,S1,S2,P4B5,P5B4,82.748660688,60.066691274
2019-04-07T05:21:14.000,#135971,178.276645509,50.296176752,W1,W2,P3B3,P5B2,13.055200622,72.000000000
2019-04-07T05:21:14.000,#135971,178.276645509,50.296176752,S1,W2,P4B5,P5B2,82.695301307,72.000000000
2019-04-07T05:21:15.000,#135971,178.283154084,50.296280446,S2,W1,P5B4,P3B3,60.013133080,13.062865805
2019-04-07T05:21:15.000,#135971,178.283154084,50.296280446,S1,W1,P4B5,P3B3,82.690443064,13.062865805
2019-04-07T05:21:15.000,#135971,178.283154084,50.296280446,S1,S2,P4B5,P5B4,82.690443064,60.013133080
2019-04-07T05:21:15.000,#135971,178.283154084,50.296280446,W1,W2,P3B3,P5B2,13.062850554,72.000000000
2019-04-07T05:21:15.000,#135971,178.283154084,50.296280446,S2,W2,P5B4,P5B2,60.013112668,72.000000000
2019-04-07T05:21:16.000,#135971,178.289662685,50.296383748,S1,W2,P4B5,P5B2,82.685578011,72.000000000
2019-04-07T05:21:16.000,#135971,178.289662685,50.296383748,S2,W1,P5B4,P3B3,60.008645303,13.070515844
2019-04-07T05:21:16.000,#135971,178.289662685,50.296383748,S1,W1,P4B5,P3B3,82.685578011,13.070515844
2019-04-07T05:21:16.000,#135971,178.289662685,50.296383748,S1,S2,P4B5,P5B4,82.685578011,60.008645303
2019-04-07T05:21:17.000,#135971,178.296171320,50.296486657,W1,W2,P3B3,P5B2,13.078190696,72.000000000
2019-04-07T05:21:17.000,#135971,178.296171320,50.296486657,S2,W1,P5B4,P3B3,60.004162170,13.078190696
2019-04-07T05:21:17.000,#135971,178.296171320,50.296486657,S1,W1,P4B5,P3B3,82.680705902,13.078190696
2019-04-07T05:21:17.000,#135971,178.296171320,50.296486657,S1,S2,P4B5,P5B4,82.680705902,60.004162170
2019-04-07T05:21:17.000,#135971,178.296171320,50.296486657,W1,W2,P3B3,P5B2,13.078191693,72.000000000
2019-04-07T05:21:18.000,#135971,178.302679979,50.296589174,S2,W1,P5B4,P3B3,59.999688282,13.085857204
2019-04-07T05:21:18.000,#135971,178.302679979,50.296589174,S1,W1,P4B5,P3B3,82.675829094,13.085857204
2019-04-07T05:21:18.000,#135971,178.302679979,50.296589174,S1,S2,P4B5,P5B4,82.675829094,59.999688282
2019-04-07T05:24:17.000,#135971,179.468092879,50.308618078,W1,W2,P3B3,P5B2,14.459727430,72.000000000
2019-04-07T05:24:17.000,#135971,179.468092879,50.308618078,S2,W2,P5B4,P5B2,59.191708018,72.000000000
2019-04-07T05:24:17.000,#135971,179.468092879,50.308618078,S2,W1,P5B4,P3B3,59.191708018,14.459727430
2019-04-07T05:24:18.000,#135971,179.474604985,50.308649951,S1,W1,P4B5,P3B3,81.791180488,14.467412173
2019-04-07T05:24:18.000,#135971,179.474604985,50.308649951,S1,S2,P4B5,P5B4,81.791180488,59.187149939
2019-04-07T05:24:18.000,#135971,179.474604985,50.308649951,W1,W2,P3B3,P5B2,14.467389809,72.000000000
2019-04-07T05:24:19.000,#135971,179.481117097,50.308681431,S2,W2,P5B4,P5B2,59.182595961,72.000000000
2019-04-07T05:24:19.000,#135971,179.481117097,50.308681431,S2,W1,P5B4,P3B3,59.182595961,14.475074651
2019-04-07T05:24:19.000,#135971,179.481117097,50.308681431,S1,W1,P4B5,P3B3,81.786220598,14.475074651
2019-04-07T05:24:19.000,#135971,179.481117097,50.308681431,S1,S2,P4B5,P5B4,81.786220598,59.182595961
2019-04-07T05:24:20.000,#135971,179.487629221,50.308712519,W1,W2,P3B3,P5B2,14.482751472,72.000000000
2019-04-07T05:24:20.000,#135971,179.487629221,50.308712519,S2,W2,P5B4,P5B2,59.178010940,72.000000000
2019-04-07T05:24:20.000,#135971,179.487629221,50.308712519,S2,W1,P5B4,P3B3,59.178010940,14.482751472
2019-04-07T05:24:20.000,#135971,179.487629221,50.308712519,S1,S2,P4B5,P5B4,81.781241942,59.178010940
2019-04-07T05:25:15.000,#135971,179.845806431,50.309817687,W1,W2,P3B3,P5B2,14.905598043,72.000000000
2019-04-07T05:25:15.000,#135971,179.845806431,50.309817687,S2,W2,P5B4,P5B2,58.926441386,72.000000000
2019-04-07T05:25:15.000,#135971,179.845806431,50.309817687,S2,W1,P5B4,P3B3,58.926441386,14.905598043
2019-04-07T05:25:16.000,#135971,179.852318875,50.309826787,S1,W1,P4B5,P3B3,81.501985982,14.913288700
2019-04-07T05:25:16.000,#135971,179.852318875,50.309826787,S1,S2,P4B5,P5B4,81.501985982,58.921854567
2019-04-07T05:25:16.000,#135971,179.852318875,50.309826787,W1,W2,P3B3,P5B2,14.913309553,72.000000000
2019-04-07T05:25:16.000,#135971,179.852318875,50.309826787,S2,W2,P5B4,P5B2,58.921875705,72.000000000
2019-04-07T05:25:17.000,#135971,179.858831323,50.309835494,S2,W1,P5B4,P3B3,58.917288391,14.921000311
2019-04-07T05:25:17.000,#135971,179.858831323,50.309835494,W1,W2,P3B3,P5B2,14.920986876,72.000000000
2019-04-07T05:25:18.000,#135971,179.865343769,50.309843809,S2,W1,P5B4,P3B3,58.912693106,14.928677730
2019-04-07T05:25:18.000,#135971,179.865343769,50.309843809,S1,S2,P4B5,P5B4,81.492006482,58.912693106
2019-04-07T05:26:07.000,#135971,180.184454382,50.309770220,W1,W2,P3B3,P5B2,15.305727238,72.000000000
2019-04-07T05:26:08.000,#135971,180.190966811,50.309758901,S2,W2,P5B4,P5B2,58.682759037,72.000000000
2019-04-07T05:26:08.000,#135971,180.190966811,50.309758901,S1,W2,P4B5,P5B2,81.241165421,72.000000000
